user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,ON_NET,ORANGE,TIGO,MRG,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN,DATA_VOLUME,ZONE1,ZONE2
8434,9,4,6000.0,12.0,6000.0,2000.0,12.0,142.0,212.0,4.0,0,47,48,12.0,0,,,
695,14,7,600.0,1.0,600.0,200.0,1.0,,21.0,2.0,0,1,8,1.0,1,,,
4082,14,7,3000.0,1.0,3000.0,1000.0,1.0,6.0,109.0,2.0,0,5,41,1.0,1,,,
3427,0,7,16300.0,25.0,16805.0,5602.0,34.0,43.0,652.0,10.0,0,61,24,12.0,0,,,
4487,4,7,650.0,2.0,449.0,150.0,3.0,6.0,8.0,2.0,0,41,51,1.0,0,,,
2581,14,7,7000.0,13.0,7000.0,2333.0,13.0,10.0,195.0,1.0,0,37,7,12.0,1,,,
7864,14,7,1500.0,5.0,1484.0,495.0,6.0,56.0,6.0,3.0,0,13,54,2.0,1,,,
8107,14,5,500.0,1.0,500.0,167.0,1.0,3.0,12.0,3.0,0,3,7,1.0,1,,,
6001,3,7,500.0,1.0,1000.0,333.0,2.0,73.0,16.0,0.0,0,49,48,1.0,0,,,
3130,14,7,4400.0,12.0,4596.0,1532.0,13.0,,19.0,1.0,0,9,51,1.0,1,,,
4595,12,7,6000.0,12.0,6000.0,2000.0,12.0,25.0,116.0,37.0,0,43,7,12.0,0,,,
7815,0,7,14200.0,22.0,14699.0,4900.0,26.0,225.0,274.0,26.0,0,61,7,21.0,0,,,
5328,4,7,11550.0,32.0,11550.0,3850.0,33.0,781.0,180.0,53.0,0,57,51,19.0,0,,,
4073,12,7,2600.0,4.0,2898.0,966.0,10.0,25.0,34.0,23.0,0,39,15,2.0,0,,,
7062,14,7,15250.0,32.0,15066.0,5022.0,59.0,1235.0,116.0,53.0,0,61,51,52.0,1,,,
8734,14,7,3000.0,10.0,3033.0,1011.0,11.0,0.0,8.0,4.0,0,1,11,5.0,1,,,
694,14,7,7700.0,12.0,5892.0,1964.0,17.0,6.0,42.0,3.0,0,19,54,5.0,1,,,
3277,14,7,500.0,1.0,500.0,167.0,1.0,0.0,2.0,4.0,0,2,7,1.0,1,,,
7276,0,7,10300.0,22.0,11051.0,3684.0,29.0,226.0,101.0,5.0,0,49,51,24.0,0,,,
7924,14,7,6000.0,13.0,6024.0,2008.0,24.0,320.0,36.0,2.0,0,62,24,8.0,1,,,
cb3285b3d56a52678f20b3a9b840b36a5301071c,DAKAR,K > 24 month,14500.0,27.0,14490.0,4830.0,29.0,12.0,9.0,7.0,NO,62,"Data:490F=1GB,7d",23.0,0,26374.0,0.0,
60,14,7,11500.0,19.0,12982.0,4327.0,22.0,269.0,680.0,171.0,0,53,37,22.0,0,,,
7667,14,5,9500.0,16.0,10000.0,3333.0,15.0,325.0,77.0,23.0,0,11,7,10.0,1,,,
1536,14,7,300.0,2.0,300.0,100.0,2.0,,7.0,1.0,0,4,54,1.0,1,,,
518,0,7,28350.0,67.0,28835.0,9612.0,68.0,4999.0,561.0,214.0,0,62,51,38.0,0,,,
9141,14,7,4950.0,10.0,5144.0,1715.0,13.0,2.0,9.0,9.0,0,32,24,8.0,1,,,
2414,14,7,2000.0,3.0,490.0,163.0,1.0,0.0,41.0,2.0,0,16,24,1.0,1,,,
4091,14,7,700.0,2.0,702.0,234.0,2.0,3.0,1.0,1.0,0,5,12,1.0,0,,,
4215,0,7,8950.0,20.0,9489.0,3163.0,25.0,292.0,83.0,77.0,0,62,7,12.0,0,,,
6228,14,7,500.0,1.0,509.0,170.0,2.0,,2.0,1.0,0,3,11,1.0,1,,,
700e470b7b7ad22c66101ce76ed4161781111d14,DAKAR,K > 24 month,7000.0,42.0,7300.0,2433.0,52.0,62.0,22.0,1.0,NO,60,"Data: 100 F=40MB,24H",47.0,0,7357.0,,
1528,14,7,4000.0,6.0,3752.0,1251.0,9.0,0.0,36.0,6.0,0,18,51,2.0,0,,,
a545f8942837cb0e861ea6aa13bc54ffd159472c,,H 15-18 month,,,,,,,,,NO,1,,,1,,,
5c0340c70bdc1d76ccdfc855f30c90c44934eb32,DAKAR,K > 24 month,3600.0,18.0,3477.0,1159.0,26.0,17.0,7.0,6.0,NO,59,,,0,0.0,,
95f02054a8093df2fc8a7e77c9029231621d56bd,,K > 24 month,1500.0,3.0,2000.0,667.0,4.0,47.0,3.0,3.0,NO,30,All-net 500F=2000F;5d,4.0,0,,,
6060,0,7,17400.0,56.0,18396.0,6132.0,59.0,3.0,153.0,7.0,0,52,11,43.0,0,,,
4260,14,7,2900.0,9.0,2618.0,873.0,17.0,557.0,19.0,6.0,0,31,54,4.0,1,,,
576,14,7,3750.0,14.0,5245.0,1748.0,28.0,1.0,0.0,1.0,0,45,11,25.0,1,,,
633,9,7,2000.0,4.0,2001.0,667.0,5.0,77.0,65.0,2.0,0,28,7,4.0,0,,,
335,14,7,1300.0,6.0,1286.0,429.0,6.0,15.0,25.0,21.0,0,21,54,6.0,1,,,
7613,14,7,2750.0,9.0,2753.0,918.0,11.0,10.0,35.0,16.0,0,15,51,2.0,1,,,
9415,14,4,1950.0,7.0,1980.0,660.0,13.0,390.0,35.0,0.0,0,53,54,3.0,1,,,
5302,14,7,1400.0,4.0,1400.0,467.0,4.0,13.0,17.0,15.0,0,12,7,2.0,1,,,
6829,12,7,11900.0,31.0,10860.0,3620.0,32.0,403.0,252.0,68.0,0,62,48,20.0,0,,,
5924,14,2,4000.0,5.0,3998.0,1333.0,7.0,20.0,37.0,5.0,0,4,7,5.0,1,,,
8672,0,7,11300.0,27.0,12000.0,4000.0,34.0,0.0,30.0,0.0,0,62,12,17.0,0,,,
4457,14,7,500.0,1.0,529.0,176.0,1.0,0.0,16.0,5.0,0,3,51,1.0,1,,,
7f4b84e92e078086b2c6d7d6db1452a0d868b380,,K > 24 month,,,,,,,,,NO,22,,,0,,,
9353,0,7,6500.0,7.0,7501.0,2500.0,8.0,224.0,96.0,4.0,0,3,1,4.0,1,,,
9439,14,7,10500.0,15.0,10171.0,3390.0,19.0,,189.0,86.0,0,11,7,13.0,1,,,
6220,14,7,5100.0,13.0,5315.0,1772.0,19.0,7.0,9.0,8.0,0,58,12,6.0,1,,,
d1aacd19376b7a97bb5eba01f7c70ac1c298d839,,K > 24 month,,,,,,,,,NO,2,,,0,,,
4619,12,7,1200.0,2.0,1044.0,348.0,5.0,,0.0,0.0,0,33,15,1.0,0,,,
c1a772f4197b71a4574ca3db9a3fc769a082e650,SAINT-LOUIS,K > 24 month,8300.0,17.0,8300.0,2767.0,19.0,236.0,244.0,4.0,NO,58,MIXT:500F= 2500F on net _2500F off net;2d,15.0,0,0.0,,
3477bfd11a43dacb902f29d6daef1b400cfb6877,,K > 24 month,,,,,,,,,NO,1,,,1,,,
6925,9,7,9200.0,47.0,9499.0,3166.0,51.0,58.0,0.0,1.0,0,62,11,44.0,0,,,
4523,0,7,5800.0,13.0,5641.0,1880.0,17.0,24.0,32.0,2.0,0,13,7,6.0,1,,,
59643e028397f0ef67558e6a601d82c5042c9bf9,THIES,K > 24 month,,,,,,47.0,,,NO,22,,,0,208.0,,
c9d39dad6221c380b56335f7b5ab60acf34e3ce1,,I 18-21 month,,,,,,,,,NO,2,,,1,,,
65c2bbafe575f9ca9e78820a7aeccfc5772655b0,,K > 24 month,,,,,,,,,NO,1,,,1,,,
7588,14,7,9550.0,20.0,9542.0,3181.0,29.0,95.0,99.0,9.0,0,44,24,10.0,1,,,
642,0,7,16000.0,7.0,25498.0,8499.0,14.0,146.0,563.0,265.0,0,58,5,48.0,0,,,
9949,14,7,5500.0,5.0,6487.0,2162.0,7.0,56.0,217.0,1.0,0,1,7,3.0,1,,,
8487,14,7,2700.0,4.0,3699.0,1233.0,11.0,8.0,18.0,2.0,0,49,7,1.0,1,,,
38c688521be94e190e556f0f7d1a85eb3bebc746,KAFFRINE,K > 24 month,1500.0,3.0,1270.0,423.0,4.0,20.0,10.0,,NO,60,All-net 500F=2000F;5d,2.0,0,0.0,,
2069,9,7,7400.0,19.0,6670.0,2223.0,22.0,69.0,156.0,0.0,0,57,7,11.0,0,,,
2393,14,7,15400.0,25.0,16264.0,5421.0,37.0,1187.0,61.0,1.0,0,30,45,25.0,1,,,
8186,14,7,1000.0,2.0,1000.0,333.0,2.0,0.0,25.0,6.0,0,9,7,2.0,1,,,
9020,14,7,2300.0,6.0,2300.0,767.0,7.0,12.0,40.0,22.0,0,4,7,4.0,1,,,
4906,14,7,8500.0,4.0,9302.0,3101.0,8.0,174.0,85.0,104.0,0,9,5,12.0,1,,,
7009,12,7,3000.0,2.0,2999.0,1000.0,2.0,113.0,128.0,14.0,0,43,40,1.0,0,,,
